generation,index,fitness,individual,state
2,42,0.008730082,"""0.6422539;0.2805182""","""Rt 0.0000 - Step 33"""
2,43,0.00070618495,"""0.58905137;0.5621209""","""Rt 0.0000 - Step 5"""
2,44,0.024665939,"""0.85943496;0.6222156""","""Rt 0.0000 - Step 26"""
2,45,0.004177063,"""0.71818614;0.6039621""","""Rt 0.0000 - Step 16"""
2,46,0.006738311,"""0.74498343;0.5503753""","""Rt 0.0000 - Step 27"""
2,47,0.008442308,"""0.7703631;0.55215085""","""Rt 0.0000 - Step 12"""
2,48,0.006377718,"""0.69396913;0.42802966""","""Rt 0.0000 - Step 20"""
2,49,0.0029014363,"""0.6573469;0.43955094""","""Rt 0.0000 - Step 25"""
2,50,0.004267433,"""0.48456657;0.21112576""","""Rt 2.9402 - Step 63"""
2,51,0.0026966555,"""0.70653987;0.7254815""","""Rt 0.0000 - Step 4"""
2,52,0.012113131,"""0.73933864;0.46102297""","""Rt 0.0000 - Step 23"""
2,53,0.0015321797,"""0.5682238;0.3481694""","""Rt 0.0000 - Step 6"""
2,54,0.005111915,"""0.71818614;0.6039621""","""Rt 0.0000 - Step 21"""
2,55,0.0015021693,"""0.57186264;0.47402906""","""Rt 0.0000 - Step 20"""
2,56,0.005498204,"""0.7560512;0.48558795""","""Rt 0.0000 - Step 7"""
2,57,0.0017247886,"""0.29693;0.1003014""","""Rt 0.0000 - Step 15"""
2,58,0.014332513,"""0.793252;0.51733464""","""Rt 0.0000 - Step 10"""
2,59,0.024211522,"""0.8018431;0.48451534""","""Rt 0.0000 - Step 31"""
3,0,0.0059275962,"""0.8467953;0.94775677""","""Rt 0.0000 - Step 18"""
3,1,0.0068197465,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 14"""
3,2,0.008659159,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 19"""
3,3,0.040644035,"""0.9143008;0.6127191""","""Rt 0.0000 - Step 23"""
3,4,0.019713912,"""0.7568909;0.32127395""","""Rt 0.0000 - Step 8"""
3,5,0.0023802337,"""0.29693;0.1003014""","""Rt 0.0000 - Step 30"""
3,6,0.04790815,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 28"""
3,7,0.015511757,"""0.6722031;0.22195011""","""Rt 0.0000 - Step 50"""
3,8,0.047619686,"""0.9143008;0.5127191""","""Rt 0.0000 - Step 3"""
3,9,0.08514867,"""1;0.5127191""","""Rt 0.0000 - Step 30"""
3,10,0.037140545,"""0.89100826;0.6557579""","""Rt 0.0000 - Step 20"""
3,11,0.011771106,"""0.82296246;0.5255012""","""Rt 0.0000 - Step 8"""
3,12,0.048804235,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 25"""
3,13,0.0095502995,"""0.8467953;0.94775677""","""Rt 0.0000 - Step 17"""
3,14,0.036117427,"""0.91337025;0.6076605""","""Rt 0.0000 - Step 25"""
3,15,0.003788662,"""0.8177638;0.8788005""","""Rt 0.0000 - Step 8"""
3,16,0.014983654,"""0.82786167;0.48867327""","""Rt 0.0000 - Step 18"""
3,17,0.027212957,"""0.29693;0.00030139834""","""Rt 2.8936 - Step 68"""
3,18,0.01859898,"""0.6609134;0.14324547""","""Rt 2.8996 - Step 68"""
3,19,0.054392748,"""0.62109405;0.015418008""","""Rt 2.8910 - Step 68"""
3,20,0.030146906,"""0.6609134;0.14324547""","""Rt 2.9364 - Step 68"""
3,21,0.017175568,"""0.82296246;0.5255012""","""Rt 0.0000 - Step 26"""
3,22,0.013119431,"""0.82786167;0.5886733""","""Rt 0.0000 - Step 23"""
3,23,0.05394519,"""0.62109405;0.015418008""","""Rt 2.8962 - Step 68"""
3,24,0.02109478,"""0.82786167;0.48867327""","""Rt 0.0000 - Step 22"""
3,25,0.025244057,"""0.6609134;0.14324547""","""Rt 2.8997 - Step 68"""
3,26,0.01323718,"""0.6722031;0.3219501""","""Rt 0.0000 - Step 38"""
3,27,0.0120091215,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 22"""
3,28,0.037622288,"""0.8568909;0.22127396""","""Rt 0.0000 - Step 30"""
3,29,0.00549738,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 6"""
3,30,0.008792935,"""0.7194289;0.44710925""","""Rt 0.0000 - Step 1"""
3,31,0.013988173,"""0.7443875;0.31595936""","""Rt 0.0000 - Step 33"""
3,32,0.022925649,"""0.8660323;0.6957598""","""Rt 0.0000 - Step 21"""
3,33,0.0055370457,"""0.74498343;0.6003753""","""Rt 0.0000 - Step 16"""
3,34,0.008469031,"""0.82281274;0.63373685""","""Rt 0.0000 - Step 9"""
3,35,0.005646427,"""0.6056154;0.30651024""","""Rt 0.0000 - Step 1"""
3,36,0.021616403,"""0.7927867;0.4148053""","""Rt 0.0000 - Step 29"""
3,37,0.021451062,"""0.7759608;0.39950168""","""Rt 0.0000 - Step 31"""
3,38,0.009038311,"""0.5269104;0.21078768""","""Rt 0.0000 - Step 49"""
3,39,0.0010142644,"""0.5939691;0.47802964""","""Rt 0.0000 - Step 4"""
3,40,0.018627252,"""0.865567;0.6932305""","""Rt 0.0000 - Step 9"""
3,41,0.006626492,"""0.7594992;0.5348534""","""Rt 0.0000 - Step 24"""
3,42,0.014462814,"""0.83732736;0.6000372""","""Rt 0.0000 - Step 14"""
3,43,0.017121458,"""0.8686316;0.56911016""","""Rt 0.0000 - Step 25"""
3,44,0.032808345,"""0.87061596;0.49816686""","""Rt 0.0000 - Step 28"""
3,45,0.022653792,"""0.72202826;0.22045961""","""Rt 0.0000 - Step 53"""
3,46,0.026004473,"""0.865567;0.79323053""","""Rt 0.0000 - Step 9"""
3,47,0.0093370695,"""0.65994626;0.3129013""","""Rt 0.0000 - Step 37"""
3,48,0.010142608,"""0.73933864;0.561023""","""Rt 0.0000 - Step 3"""
3,49,0.006670332,"""0.68760705;0.3779823""","""Rt 0.0000 - Step 21"""
3,50,0.015544836,"""0.793252;0.46733463""","""Rt 0.0000 - Step 25"""
3,51,0.01680021,"""0.7443875;0.31595936""","""Rt 0.0000 - Step 38"""
3,52,0.011053329,"""0.8518431;0.63451535""","""Rt 0.0000 - Step 23"""
3,53,0.009632393,"""0.82281274;0.6837369""","""Rt 0.0000 - Step 7"""
3,54,0.023727616,"""0.6410037;0.12933174""","""Rt 0.0000 - Step 15"""
3,55,0.01569842,"""0.8518431;0.63451535""","""Rt 0.0000 - Step 1"""
3,56,0.01888686,"""0.793252;0.51733464""","""Rt 0.0000 - Step 32"""
3,57,0.027068168,"""0.8660323;0.59575975""","""Rt 0.0000 - Step 25"""
3,58,0.016989717,"""0.8373285;0.718215""","""Rt 0.0000 - Step 17"""
3,59,0.00089778437,"""0.5573469;0.48955095""","""Rt 0.0000 - Step 7"""
