generation,index,fitness,individual,state
1,29,5.1653e-5,"""0.59808046;0.60169""","""Rt 0.0000"""
1,30,2.3009723e-5,"""0.17967321;0.73305506""","""Rt 0.0000"""
1,31,0.0032154317,"""0.8026749;0.9320177""","""Rt 0.0000"""
1,32,0.04061211,"""0.9748697;0.44109577""","""Rt 2.9786"""
1,33,0.011414716,"""0.8482504;0.9336641""","""Rt 0.0000"""
1,34,2.301613e-5,"""0.40675575;0.7805314""","""Rt 0.0000"""
1,35,0.0037649889,"""0.75994956;0.8230624""","""Rt 0.0000"""
1,36,2.3020088e-5,"""0.05284346;0.87022316""","""Rt 0.0000"""
1,37,2.3017099e-5,"""0.60815185;0.6283466""","""Rt 0.0000"""
1,38,9.469843e-5,"""0.54315215;0.6475529""","""Rt 0.0000"""
1,39,2.2990153e-5,"""0.16472043;0.7028989""","""Rt 0.0000"""
1,40,0.043895066,"""0.9333495;0.24028876""","""Rt 2.9818"""
1,41,2.297842e-5,"""0.58003396;0.8354926""","""Rt 0.0000"""
1,42,0.011538731,"""0.3663856;0.06205166""","""Rt 3.4210"""
1,43,2.310839e-5,"""0.28949085;0.527844""","""Rt 0.0000"""
1,44,0.0001663091,"""0.41023988;0.57368654""","""Rt 0.0000"""
1,45,2.3020513e-5,"""0.07908524;0.64635307""","""Rt 0.0000"""
1,46,0.047132302,"""0.7698569;0.08706618""","""Rt 2.9868"""
1,47,2.3009874e-5,"""0.47270435;0.8960749""","""Rt 0.0000"""
1,48,4.5930126e-5,"""0.37092832;0.5145077""","""Rt 0.0000"""
1,49,2.2969249e-5,"""0.014451863;0.02075267""","""Rt 0.0000"""
1,50,0.066270955,"""0.8732561;0.099866524""","""Rt 2.9777"""
1,51,0.0140217375,"""0.9437424;0.9987103""","""Rt 0.0000"""
1,52,4.9442016e-5,"""0.4834699;0.36808792""","""Rt 0.0000"""
1,53,0.04454788,"""0.6386197;0.039507512""","""Rt 2.9908"""
1,54,0.0016657436,"""0.62950176;0.54083484""","""Rt 0.0000"""
1,55,3.5088196e-5,"""0.43075913;0.6436483""","""Rt 0.0000"""
1,56,0.0013472318,"""0.3492408;0.07105232""","""Rt 3.6379"""
1,57,2.3006429e-5,"""0.48227197;0.7217383""","""Rt 0.0000"""
1,58,2.3018074e-5,"""0.41523784;0.31564298""","""Rt 0.0000"""
1,59,0.04963316,"""0.958928;0.837083""","""Rt 0.0000"""
2,0,2.2979175e-5,"""0.60815185;0.6283466""","""Rt 0.0000"""
